"$1" 14
"$175" 1
"$20K" 6
"$24" 7
"$29" 6
"$30" 4
"$39Mil" 12
"$4" 5
"$400k" 2
"$51K" 2
"$60" 27
"%" 5
"&amp" 19
"&ampamp" 1
"'Alice" 12
"'Hold" 3
"'It'" 5
"'Una" 1
"'What" 15
"'You'd" 5
"(AGAIN)" 7
"(y" 1
"-" 19
"--" 1
"---&gt" 3
"/" 14
"1" 32
"10" 63
"10-Ton" 6
"100" 14
"100%" 3
"11" 14
"11-Yr-Old" 11
"12" 10
"13" 4
"13-Year-Old" 1
"1300-Word" 6
"14" 12
"14-Yr-Old" 5
"143" 7
"15" 23
"1500" 12
"17" 8
"17-Year" 6
"18" 2
"1984" 12
"1985" 8
"2" 41
"20" 32
"200" 5
"2000" 7
"2011" 4
"2013" 10
"2014" 5
"2016" 23
"2018" 12
"2020" 44
"22" 15
"22000" 5
"24" 2
"25" 7
"3" 48
"30" 2
"300K" 10
"3848" 3
"3rd" 4
"4" 85
"4-Legged" 5
"40%" 5
"5" 53
"50" 10
"500" 4
"53%" 8
"5th" 16
"6" 10
"60" 22
"60-Year-Old" 6
"600K" 3
"60k" 14
"61" 14
"69" 1
"6th" 1
"7" 6
"71" 3
"75" 1
"77%" 9
"8" 5
"80" 3
"81" 25
"850000" 7
"9" 19
"9/11" 89
"9/11s" 8
"96" 4
"99%" 7
"992%" 11
"9th" 9
"A" 471
"A+" 15
"ABUSES" 1
"ACTION" 4
"ACTIVE" 7
"AD" 11
"ADMITTED" 15
"AFTER" 8
"AG" 5
"AGAIN" 48
"AGAINST" 9
"AGUA" 1
"AI" 7
"AIDS" 10
"ALERT" 9
"ALL" 13
"ALL-TIME" 2
"AMAZING" 28
"AMERICA" 12
"AND" 19
"ANGELS" 8
"ANGRY" 5
"ANNIHILATED" 1
"ANOTHER" 27
"ANYTHING" 4
"APART" 2
"ARE" 8
"ARRESTED" 18
"ASS" 5
"AWAY" 8
"AWFUL" 9
"Abandon" 9
"Abandoned" 4
"Abbott" 18
"Abdul" 9
"Abortion" 26
"Abortions" 16
"About" 231
"Above" 5
"Absolution" 3
"Abuse" 30
"Abused" 10
"Accepting" 3
"Accused" 16
"Accuser" 8
"Accuses" 2
"Acid" 3
"Acosta" 12
"Acquisition" 13
"Acquittal" 3
"Across" 12
"Act" 7
"Acted" 14
"Acting" 2
"Action" 11
"Activist" 36
"Activists" 11
"Actor" 3
"Actors" 13
"Actress" 62
"Actually" 8
"Ad" 35
"Adam" 1
"Addressing" 8
"Admin" 4
"Administration" 9
"Admit" 3
"Admits" 58
"Admitted" 14
"Adolescentes" 1
"Adorable" 48
"Adorably" 4
"Advice" 24
"Advisor" 5
"Advocate" 10
"Aerial" 9
"Affected" 7
"After" 323
"Again" 36
"Against" 173
"Age" 6
"Agenda" 20
"Agree" 21
"Ahead" 8
"Aid" 27
"Air" 15
"Al" 53
"Alabama" 1
"Album" 3
"Alec" 2
"Algunas" 2
"Alive" 16
"All" 145
"Allegation" 16
"Allen" 9
"Allies" 13
"Allow" 6
"Along" 3
"Already" 14
"Alt-Left" 15
"AltLeft" 11
"Alter" 11
"Alums" 3
"Always" 2
"Alyssa" 7
"Am" 3
"Amash" 7
"Amazing" 40
"Amazon" 21
"Ambassador" 3
"Amendment" 13
"America" 83
"American" 92
"Americans" 55
"Americas" 10
"Amherst" 16
"Amidst" 10
"Amnesty" 18
"Amor" 1
"An" 50
"Ana" 7
"Analyst" 1
"Anatomy" 21
"And" 71
"Anderson" 2
"Angel" 3
"Angela" 7
"Angeles" 7
"Angels" 9
"Angry" 39
"Anheuser-Busch" 10
"Animal" 9
"Animals" 4
"Ann" 13
"Announce" 7
"Another" 69
"Answers" 15
"Anthem" 85
"Anthony" 20
"Anti-American" 16
"Anti-Semitic" 13
"Anti-Trump" 102
"Anti-White" 9
"Anticonceptivos" 1
"Antifa" 209
"Anymore" 2
"Apartment" 11
"Apologize" 26
"Appeals" 1
"Appearance" 16
"Apple" 2
"Application" 8
"Appointment" 9
"Appropriate" 2
"Approval" 41
"Aprende" 3
"Aqu" 4
"Are" 138
"Arena" 21
"Arent" 6
"Argentina" 13
"Argued" 10
"Argues" 10
"Arizona" 19
"Armed" 10
"Army" 13
"Arnoldfoton" 1
"Around" 7
"Arpaio" 51
"Arrest" 6
"Arrested" 69
"Arrests" 4
"Arrived" 16
"Arte" 3
"Artist" 20
"Artist's" 2
"As" 62
"Ask" 8
"Asked" 25
"Asks" 42
"Assange" 13
"Assassinating" 2
"Assassination" 16
"Asteroid" 10
"At" 52
"Ate" 10
"Athletes" 4
"Attack" 99
"Attacked" 36
"Attacking" 21
"Attacks" 127
"Attempt" 3
"Attic" 8
"Attitude" 14
"Audio" 2
"Authentic" 6
"Author" 15
"Averted" 1
"Avoid" 16
"Avoided" 2
"Avoiding" 12
"Awake" 7
"Awan" 67
"Away" 9
"BACK" 56
"BACKFIRES" 17
"BACKLASH" 12
"BACKSTABBED" 8
"BACON" 5
"BAD" 32
"BAILAR" 1
"BAN" 1
"BANS" 9
"BASHED" 7
"BEGGING" 14
"BEGS" 2
"BEGUN" 2
"BEST" 2
"BETTER" 6
"BIAS" 11
"BIG" 24
"BIGGER" 4
"BILLIONS" 8
"BLACK" 4
"BLAST" 16
"BLASTS" 16
"BLIND" 12
"BLM" 44
"BLOW" 15
"BLUFF" 5
"BOMB" 15
"BOMBS" 10
"BOMBSHELL" 24
"BOND" 7
"BOOBS" 14
"BOOK" 9
"BOOM" 37
"BOOST" 14
"BORDER" 6
"BOY" 11
"BOYCOTT" 9
"BRAND" 17
"BREAKING" 1668
"BREITBART" 8
"BRIGHT" 18
"BRILLIANT" 18
"BRUTAL" 2
"BUCKS" 5
"BULLSH*T" 1
"BUM" 5
"BURNING" 6
"BURSTS" 1
"BUSTED" 64
"BUY" 2
"Baby" 34
"Back" 31
"Backdoor" 6
"Backfires" 18
"Backing" 10
"Backlash" 13
"Backs" 2
"Backstabbed" 8
"Backtracks" 16
"Bad" 35
"Badass" 7
"Badassery" 3
"Badly" 10
"Bag" 4
"Bahamas" 8
"Baiter" 22
"Baker" 4
"Bakers" 7
"Baldwin" 17
"Ball" 14
"Ban" 68
"Banded" 14
"Bank" 9
"Banking" 3
"Banner" 38
"Bannon" 69
"Bannons" 11
"Barack" 5
"Barcelona" 2
"Barron" 2
"Baseball" 22
"Based" 7
"Bases" 8
"Basket" 15
"Baton" 13
"Batters" 3
"Battle" 23
"Be" 173
"Beans" 11
"BearUntil" 11
"Beaten" 8
"Beautiful" 8
"Bebidas" 1
"Because" 15
"Beck" 16
"Become" 13
"Becoming" 10
"Bed" 6
"Been" 39
"Beer'" 3
"Beetle" 1
"Before" 59
"Before-And-After" 13
"Begala" 1
"Begging" 12
"Begs" 12
"Behar" 30
"Behind" 40
"Being" 91
"Believe" 36
"Believes" 13
"Belongs" 7
"Beloved" 7
"Ben" 22
"Beneficios" 4
"Benefit" 9
"Benghazi" 33
"Berkeley" 66
"Bernie" 71
"Besa" 1
"Best" 39
"Betsy" 45
"Better" 21
"Bettering" 7
"Between" 27
"Bias" 7
"Biased" 9
"Bible" 7
"Bidens" 6
"Big" 25
"Biggest" 40
"Bill" 115
"Billion" 7
"Billionaire" 11
"Bird" 12
"Bitcoin" 9
"Bitter" 57
"Bizarre" 12
"Black" 130
"Blacks" 9
"Blair" 5
"Blame" 18
"Blames" 17
"Blaming" 49
"Blasio" 19
"Blast" 11
"Blasted" 6
"Blatant" 12
"Blaze" 10
"Blessed" 5
"Block" 26
"Blocking" 7
"Blocks" 27
"Blowing" 2
"Blue" 16
"Board" 18
"Boarded" 6
"Body" 2
"Bolling" 48
"Bollings" 18
"Bomb" 25
"Bombshell" 2
"Bongino" 8
"Boobs" 15
"Book" 99
"Booker" 10
"Boos" 4
"Border" 31
"Borders" 11
"Bought" 15
"Bounce" 10
"Bourdain" 13
"Box" 13
"Boy" 40
"Boycott" 23
"Boycotts" 5
"Braces" 11
"Brain" 15
"Brand" 7
"Brass" 2
"Brave" 17
"Brawl" 2
"Break" 3
"Breaking" 23
"Breaks" 6
"Breitbart" 6
"Brexit" 5
"Brian" 1
"Briliant" 12
"Brilliant" 13
"Brilliantly" 11
"Brings" 10
"Broke" 5
"Broker" 11
"Brooke" 15
"Brother" 3
"Brothers" 49
"Brought" 18
"Brown" 17
"Brutal" 19
"Buchanan" 1
"Bucket" 13
"Buenos" 1
"Build" 22
"Buildings" 6
"Builds" 11
"Buildup" 3
"Built" 6
"Bullied" 10
"Bully" 12
"Bullying" 8
"Burial" 1
"Bursts" 11
"Businesses" 2
"Busted" 10
"But" 151
"By" 118
"CALLS" 22
"CAR" 8
"CAUGHT" 10
"CAVE" 10
"CAVES" 13
"CBS" 1
"CELEBRATES" 10
"CEO" 14
"CEOs" 9
"CHANCE" 4
"CHAOS" 1
"CHEERING" 12
"CHEF" 10
